            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2314714.877083333, A.D. 1625-May-16 09:03:00.0000,  2.176563859889639E+08,  2.211633438860861E+08, -6.039246010808709E+07,
2315079.877083333, A.D. 1626-May-16 09:03:00.0000,  2.198948350352784E+08,  2.198610196103927E+08, -6.064251466372892E+07,
2315444.877083333, A.D. 1627-May-16 09:03:00.0000,  2.220997358141162E+08,  2.185472236864445E+08, -6.089047935069698E+07,
2315810.877083333, A.D. 1628-May-16 09:03:00.0000,  2.203551026074775E+08,  2.195389007006984E+08, -6.087335976219703E+07,
2316175.877083333, A.D. 1629-May-16 09:03:00.0000,  2.225664891678295E+08,  2.181923950892326E+08, -6.111111126935472E+07,
2316540.877083333, A.D. 1630-May-16 09:03:00.0000,  2.247839786728045E+08,  2.168176277923230E+08, -6.134181636921811E+07,
2316905.877083333, A.D. 1631-May-16 09:03:00.0000,  2.269590588063594E+08,  2.154585876499682E+08, -6.156149277770868E+07,
2317271.877083333, A.D. 1632-May-16 09:03:00.0000,  2.251631837721072E+08,  2.165204895730868E+08, -6.153673356151441E+07,
2317636.877083333, A.D. 1633-May-16 09:03:00.0000,  2.272051128450120E+08,  2.151894139063505E+08, -6.173340128363648E+07,
2318001.877083333, A.D. 1634-May-16 09:03:00.0000,  2.292578056570754E+08,  2.138395186366163E+08, -6.192700940537476E+07,
2318366.877083333, A.D. 1635-May-16 09:03:00.0000,  2.313052495868229E+08,  2.124861006303354E+08, -6.211639870921996E+07,
2318732.877083333, A.D. 1636-May-16 09:03:00.0000,  2.295095132914202E+08,  2.135461566932058E+08, -6.209848855298316E+07,
2319097.877083333, A.D. 1637-May-16 09:03:00.0000,  2.315170759369914E+08,  2.122147523842906E+08, -6.227673087997669E+07,
2319462.877083333, A.D. 1638-May-16 09:03:00.0000,  2.334887971880534E+08,  2.108632728543211E+08, -6.244402832848579E+07,
2319827.877083333, A.D. 1639-May-16 09:03:00.0000,  2.354310778834544E+08,  2.094940944368192E+08, -6.260519456017512E+07,
2320193.877083333, A.D. 1640-May-16 09:03:00.0000,  2.335821164479572E+08,  2.105902896613693E+08, -6.257898858322263E+07,
2320558.877083333, A.D. 1641-May-16 09:03:00.0000,  2.354798215273870E+08,  2.092329506526663E+08, -6.273508077240789E+07,
2320923.877083333, A.D. 1642-May-16 09:03:00.0000,  2.373907344525920E+08,  2.078800292161230E+08, -6.288320957048701E+07,
2321288.877083333, A.D. 1643-May-16 09:03:00.0000,  2.392567904997794E+08,  2.065574519274390E+08, -6.302353054746360E+07,
2321654.877083333, A.D. 1644-May-16 09:03:00.0000,  2.373701974883138E+08,  2.076991527857138E+08, -6.299467461365995E+07,
2322019.877083333, A.D. 1645-May-16 09:03:00.0000,  2.391968026714966E+08,  2.063518406745888E+08, -6.312324801387808E+07,
2322384.877083333, A.D. 1646-May-16 09:03:00.0000,  2.410152352760575E+08,  2.049836393869415E+08, -6.324791480067022E+07,
2322749.877083333, A.D. 1647-May-16 09:03:00.0000,  2.428210904258357E+08,  2.036099989987432E+08, -6.336905159972645E+07,
2323115.877083333, A.D. 1648-May-16 09:03:00.0000,  2.409373109607208E+08,  2.047786229848872E+08, -6.334601697634460E+07,
2323480.877083333, A.D. 1649-May-16 09:03:00.0000,  2.426958337957868E+08,  2.034398503368324E+08, -6.345938335330729E+07,
2323845.877083333, A.D. 1650-May-16 09:03:00.0000,  2.444349389221036E+08,  2.020918903257354E+08, -6.356280566722876E+07,
2324210.877083333, A.D. 1651-May-16 09:03:00.0000,  2.461431064838657E+08,  2.007454705045339E+08, -6.366116705386902E+07,
2324576.877083333, A.D. 1652-May-16 09:03:00.0000,  2.442374057808469E+08,  2.019137618108300E+08, -6.363789817028212E+07,
2324941.877083333, A.D. 1653-May-16 09:03:00.0000,  2.459607779152833E+08,  2.005460254741359E+08, -6.373600746198291E+07,
2325306.877083333, A.D. 1654-May-16 09:03:00.0000,  2.476732079713215E+08,  1.991885457590753E+08, -6.382817626725197E+07,
2325671.877083333, A.D. 1655-May-16 09:03:00.0000,  2.493376483461622E+08,  1.978473725656300E+08, -6.391210764976043E+07,
2326037.877083333, A.D. 1656-May-16 09:03:00.0000,  2.474088681110102E+08,  1.990658591148071E+08, -6.388650680253515E+07,
2326402.877083333, A.D. 1657-May-16 09:03:00.0000,  2.490613885584092E+08,  1.976923879990763E+08, -6.396443236067832E+07,
2326767.877083333, A.D. 1658-May-16 09:03:00.0000,  2.507192070245194E+08,  1.963012846050621E+08, -6.404017905035128E+07,
2327132.877083333, A.D. 1659-May-16 09:03:00.0000,  2.523569096736457E+08,  1.949236295603060E+08, -6.411073932684745E+07,
2327498.877083333, A.D. 1660-May-16 09:03:00.0000,  2.504624530368718E+08,  1.961385167042998E+08, -6.409650100236963E+07,
2327863.877083333, A.D. 1661-May-16 09:03:00.0000,  2.520566471312708E+08,  1.947953088486497E+08, -6.415912078126012E+07,
2328228.877083333, A.D. 1662-May-16 09:03:00.0000,  2.536409729193609E+08,  1.934429951573721E+08, -6.422155006492629E+07,
2328593.877083333, A.D. 1663-May-16 09:03:00.0000,  2.552057975623563E+08,  1.920546426530932E+08, -6.427383616949399E+07,
2328959.877083333, A.D. 1664-May-16 09:03:00.0000,  2.533101386296153E+08,  1.932556083560528E+08, -6.425896621792591E+07,
2329324.877083333, A.D. 1665-May-16 09:03:00.0000,  2.549087979927723E+08,  1.918427092356872E+08, -6.431038941525216E+07,
2329689.877083333, A.D. 1666-May-16 09:03:00.0000,  2.565010442959068E+08,  1.904402186576482E+08, -6.435912196129052E+07,
2330054.877083333, A.D. 1667-May-16 09:03:00.0000,  2.580394484297349E+08,  1.890643596962548E+08, -6.439869229893003E+07,
2330420.877083333, A.D. 1668-May-16 09:03:00.0000,  2.561303519806176E+08,  1.903025596739281E+08, -6.438499643949485E+07,
2330785.877083333, A.D. 1669-May-16 09:03:00.0000,  2.576381912621584E+08,  1.889153135976578E+08, -6.442055996951583E+07,
2331150.877083333, A.D. 1670-May-16 09:03:00.0000,  2.591804632621098E+08,  1.875098449936673E+08, -6.445958083903541E+07,
2331515.877083333, A.D. 1671-May-16 09:03:00.0000,  2.607019993193220E+08,  1.860799738422942E+08, -6.448932779360383E+07,
2331881.877083333, A.D. 1672-May-16 09:03:00.0000,  2.588502482167428E+08,  1.872905038085051E+08, -6.448494765889359E+07,
2332246.877083333, A.D. 1673-May-16 09:03:00.0000,  2.603565796772958E+08,  1.858755275438845E+08, -6.450526478205802E+07,
2332611.877083333, A.D. 1674-May-16 09:03:00.0000,  2.618393482131388E+08,  1.844485115772013E+08, -6.452356107734995E+07,
2332976.877083333, A.D. 1675-May-16 09:03:00.0000,  2.633002262453481E+08,  1.830067197987282E+08, -6.453338576690954E+07,
2333342.877083333, A.D. 1676-May-16 09:03:00.0000,  2.614272450307799E+08,  1.842271524387420E+08, -6.453105374961483E+07,
2333707.877083333, A.D. 1677-May-16 09:03:00.0000,  2.628802805764269E+08,  1.828087131604874E+08, -6.454317037754257E+07,
2334072.877083333, A.D. 1678-May-16 09:03:00.0000,  2.643551209118152E+08,  1.813989862247954E+08, -6.455407289718068E+07,
2334437.877083333, A.D. 1679-May-16 09:03:00.0000,  2.657745609697361E+08,  1.799805783639435E+08, -6.455423599472573E+07,
2334803.877083333, A.D. 1680-May-16 09:03:00.0000,  2.639169866590863E+08,  1.811946048925886E+08, -6.455022977718040E+07,
2335168.877083333, A.D. 1681-May-16 09:03:00.0000,  2.653405274680573E+08,  1.797406069066534E+08, -6.454469099960876E+07,
2335533.877083333, A.D. 1682-May-16 09:03:00.0000,  2.667641305373776E+08,  1.782788389839644E+08, -6.453862152856701E+07,
2335898.877083333, A.D. 1683-May-16 09:03:00.0000,  2.681646904251100E+08,  1.768163862113042E+08, -6.452680060920938E+07,
2336264.877083333, A.D. 1684-May-16 09:03:00.0000,  2.663277203089519E+08,  1.780568913628007E+08, -6.453494055373695E+07,
2336629.877083333, A.D. 1685-May-16 09:03:00.0000,  2.676883601817617E+08,  1.766389246742856E+08, -6.451883894381721E+07,
2336994.877083333, A.D. 1686-May-16 09:03:00.0000,  2.690539158658183E+08,  1.752014856293662E+08, -6.449919495494726E+07,
2337359.877083333, A.D. 1687-May-16 09:03:00.0000,  2.703929710620600E+08,  1.737383018226846E+08, -6.447130166478046E+07,
2337725.877083333, A.D. 1688-May-16 09:03:00.0000,  2.685733056090927E+08,  1.749307849787248E+08, -6.447802997833515E+07,
2338090.877083333, A.D. 1689-May-16 09:03:00.0000,  2.699438999168246E+08,  1.734495387436035E+08, -6.444954679690767E+07,
2338455.877083333, A.D. 1690-May-16 09:03:00.0000,  2.712977859438466E+08,  1.719895494158517E+08, -6.441884036164242E+07,
2338820.877083333, A.D. 1691-May-16 09:03:00.0000,  2.725994009850131E+08,  1.705281796131469E+08, -6.437903651385353E+07,
2339186.877083333, A.D. 1692-May-16 09:03:00.0000,  2.707992639201117E+08,  1.717238431803958E+08, -6.438714930149136E+07,
2339551.877083333, A.D. 1693-May-16 09:03:00.0000,  2.721146655670180E+08,  1.702222740958474E+08, -6.434566218000461E+07,
2339916.877083333, A.D. 1694-May-16 09:03:00.0000,  2.734462545723793E+08,  1.687090695636150E+08, -6.429944873153292E+07,
2340281.877083333, A.D. 1695-May-16 09:03:00.0000,  2.747445531618378E+08,  1.672073054564694E+08, -6.424924384960102E+07,
2340647.877083333, A.D. 1696-May-16 09:03:00.0000,  2.729548235038267E+08,  1.684122758012657E+08, -6.426153426357341E+07,
2341012.877083333, A.D. 1697-May-16 09:03:00.0000,  2.742436088191953E+08,  1.669194147092385E+08, -6.420671500083322E+07,
2341377.877083333, A.D. 1698-May-16 09:03:00.0000,  2.755141908586696E+08,  1.654006884071977E+08, -6.414579047979521E+07,
2341742.877083333, A.D. 1699-May-16 09:03:00.0000,  2.767592932722335E+08,  1.638538535073470E+08, -6.407661706688353E+07,
2342107.877083333, A.D. 1700-May-16 09:03:00.0000,  2.780288283934211E+08,  1.622721758503094E+08, -6.400526220321916E+07,
2342472.877083333, A.D. 1701-May-16 09:03:00.0000,  2.792906729053072E+08,  1.606952475070721E+08, -6.393106485365539E+07,
2342837.877083333, A.D. 1702-May-16 09:03:00.0000,  2.805429736680597E+08,  1.591240044494661E+08, -6.385036041473737E+07,
2343202.877083333, A.D. 1703-May-16 09:03:00.0000,  2.817415755064815E+08,  1.575691780537012E+08, -6.376346064246476E+07,
2343568.877083333, A.D. 1704-May-16 09:03:00.0000,  2.800025851421496E+08,  1.587397260367902E+08, -6.377536186324647E+07,
2343933.877083333, A.D. 1705-May-16 09:03:00.0000,  2.812346963577395E+08,  1.571252409720953E+08, -6.368966059924503E+07,
2344298.877083333, A.D. 1706-May-16 09:03:00.0000,  2.824563105069544E+08,  1.554966628058849E+08, -6.359184713005112E+07,
2344663.877083333, A.D. 1707-May-16 09:03:00.0000,  2.836421954653861E+08,  1.538581954252291E+08, -6.348904999014425E+07,
2345029.877083333, A.D. 1708-May-16 09:03:00.0000,  2.819780248156984E+08,  1.549782593042120E+08, -6.349985000872559E+07,
2345394.877083333, A.D. 1709-May-16 09:03:00.0000,  2.831581981924059E+08,  1.533454198368369E+08, -6.339033121559119E+07,
2345759.877083333, A.D. 1710-May-16 09:03:00.0000,  2.843289049804116E+08,  1.516732483517838E+08, -6.327196038775981E+07,
2346124.877083333, A.D. 1711-May-16 09:03:00.0000,  2.854646769412629E+08,  1.500211764790544E+08, -6.314990785011816E+07,
2346490.877083333, A.D. 1712-May-16 09:03:00.0000,  2.837871021493263E+08,  1.511258525214103E+08, -6.316179640404664E+07,
2346855.877083333, A.D. 1713-May-16 09:03:00.0000,  2.849765375475425E+08,  1.494491773360427E+08, -6.304282954264341E+07,
2347220.877083333, A.D. 1714-May-16 09:03:00.0000,  2.861325562732143E+08,  1.477698081992767E+08, -6.291116222931609E+07,
2347585.877083333, A.D. 1715-May-16 09:03:00.0000,  2.872285940764663E+08,  1.460620532123660E+08, -6.276960391634355E+07,
2347951.877083333, A.D. 1716-May-16 09:03:00.0000,  2.855941284975616E+08,  1.470926457535415E+08, -6.277331234053556E+07,
