            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454368.500000000, A.D. 2007-Sep-25 00:00:00.0000,  9.900740491544425E+06,  9.134132935614331E+07, -2.870447247398193E+07,
2454369.500000000, A.D. 2007-Sep-26 00:00:00.0000,  8.456332184753090E+06,  9.000193527931827E+07, -2.906347088008830E+07,
2454370.500000000, A.D. 2007-Sep-27 00:00:00.0000,  7.031636231905699E+06,  8.864976797377959E+07, -2.941769370681682E+07,
2454371.500000000, A.D. 2007-Sep-28 00:00:00.0000,  5.626518183686197E+06,  8.728508371278700E+07, -2.976691708972900E+07,
2454372.500000000, A.D. 2007-Sep-29 00:00:00.0000,  4.240851424738556E+06,  8.590812932561769E+07, -3.011091796815982E+07,
2454373.500000000, A.D. 2007-Sep-30 00:00:00.0000,  2.874516098138601E+06,  8.451914839938925E+07, -3.044947068182145E+07,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,  1.527394879793584E+06,  8.311838634089717E+07, -3.078234430839009E+07,
2454375.500000000, A.D. 2007-Oct-02 00:00:00.0000,  1.993668911693692E+05,  8.170609311302862E+07, -3.110930132567547E+07,
2454376.500000000, A.D. 2007-Oct-03 00:00:00.0000, -1.109698598514348E+06,  8.028252341269197E+07, -3.143009765526488E+07,
2454377.500000000, A.D. 2007-Oct-04 00:00:00.0000, -2.399947439359814E+06,  7.884793485943165E+07, -3.174448373043971E+07,
2454378.500000000, A.D. 2007-Oct-05 00:00:00.0000, -3.671544326308995E+06,  7.740258506759289E+07, -3.205220609816705E+07,
2454379.500000000, A.D. 2007-Oct-06 00:00:00.0000, -4.924675063744366E+06,  7.594672834706284E+07, -3.235300915808538E+07,
2454380.500000000, A.D. 2007-Oct-07 00:00:00.0000, -6.159547725020826E+06,  7.448061247428642E+07, -3.264663681574612E+07,
2454381.500000000, A.D. 2007-Oct-08 00:00:00.0000, -7.376393080767006E+06,  7.300447570167789E+07, -3.293283397511415E+07,
