            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454383.500000000, A.D. 2007-Oct-10 00:00:00.0000, -9.757037918077722E+06,  5.092652600768588E+07, -5.857263071081716E+07,
2454384.500000000, A.D. 2007-Oct-11 00:00:00.0000, -1.092141058113106E+07,  4.944142387409970E+07, -5.821476517136867E+07,
2454385.500000000, A.D. 2007-Oct-12 00:00:00.0000, -1.206890083400509E+07,  4.795121431447180E+07, -5.784551265577005E+07,
2454386.500000000, A.D. 2007-Oct-13 00:00:00.0000, -1.319984673003384E+07,  4.645612978608264E+07, -5.746472100060921E+07,
2454387.500000000, A.D. 2007-Oct-14 00:00:00.0000, -1.431460485942487E+07,  4.495637807270981E+07, -5.707223558010899E+07,
2454388.500000000, A.D. 2007-Oct-15 00:00:00.0000, -1.541354901752894E+07,  4.345214032670054E+07, -5.666789929197817E+07,
2454389.500000000, A.D. 2007-Oct-16 00:00:00.0000, -1.649706884937871E+07,  4.194356925725050E+07, -5.625155252911519E+07,
2454390.500000000, A.D. 2007-Oct-17 00:00:00.0000, -1.756556851592359E+07,  4.043078737814099E+07, -5.582303314639442E+07,
2454391.500000000, A.D. 2007-Oct-18 00:00:00.0000, -1.861946537211305E+07,  3.891388519698070E+07, -5.538217643233095E+07,
2454392.500000000, A.D. 2007-Oct-19 00:00:00.0000, -1.965918856821130E+07,  3.739291922404058E+07, -5.492881509286272E+07,
2454393.500000000, A.D. 2007-Oct-20 00:00:00.0000, -2.068517739204748E+07,  3.586790971703537E+07, -5.446277924791910E+07,
2454394.500000000, A.D. 2007-Oct-21 00:00:00.0000, -2.169787907784751E+07,  3.433883817760251E+07, -5.398389642995898E+07,
2454395.500000000, A.D. 2007-Oct-22 00:00:00.0000, -2.269774575342102E+07,  3.280564479594205E+07, -5.349199155702110E+07,
2454396.500000000, A.D. 2007-Oct-23 00:00:00.0000, -2.368523025254631E+07,  3.126822630346794E+07, -5.298688683361538E+07,
2454397.500000000, A.D. 2007-Oct-24 00:00:00.0000, -2.466078078265975E+07,  2.972643497624589E+07, -5.246840151989897E+07,
2454398.500000000, A.D. 2007-Oct-25 00:00:00.0000, -2.562483497162145E+07,  2.818007965519933E+07, -5.193635151995485E+07,
2454399.500000000, A.D. 2007-Oct-26 00:00:00.0000, -2.657781450387706E+07,  2.662892934204431E+07, -5.139054879116771E+07,
2454400.500000000, A.D. 2007-Oct-27 00:00:00.0000, -2.752012198673485E+07,  2.507271904151633E+07, -5.083080066546144E+07,
2454401.500000000, A.D. 2007-Oct-28 00:00:00.0000, -2.845214133558400E+07,  2.351115634598142E+07, -5.025690925557273E+07,
2454402.500000000, A.D. 2007-Oct-29 00:00:00.0000, -2.937424172382046E+07,  2.194392656616131E+07, -4.966867112898073E+07,
2454403.500000000, A.D. 2007-Oct-30 00:00:00.0000, -3.028678367870104E+07,  2.037069463569745E+07, -4.906587734235969E+07,
2454404.500000000, A.D. 2007-Oct-31 00:00:00.0000, -3.119012519576931E+07,  1.879110334614594E+07, -4.844831379470353E+07,
2454405.500000000, A.D. 2007-Nov-01 00:00:00.0000, -3.208462615389052E+07,  1.720476878504883E+07, -4.781576176597428E+07,
2454406.500000000, A.D. 2007-Nov-02 00:00:00.0000, -3.297065033881840E+07,  1.561127441506149E+07, -4.716799850132264E+07,
2454407.500000000, A.D. 2007-Nov-03 00:00:00.0000, -3.384856528752019E+07,  1.401016502361161E+07, -4.650479775257667E+07,
2454408.500000000, A.D. 2007-Nov-04 00:00:00.0000, -3.471874058776966E+07,  1.240094122114364E+07, -4.582593025008752E+07,
2454409.500000000, A.D. 2007-Nov-05 00:00:00.0000, -3.558154527166244E+07,  1.078305466626119E+07, -4.513116411945951E+07,
2454410.500000000, A.D. 2007-Nov-06 00:00:00.0000, -3.643734474709731E+07,  9.155903903855827E+06, -4.442026527479818E+07,
2454411.500000000, A.D. 2007-Nov-07 00:00:00.0000, -3.728649748984778E+07,  7.518830599700442E+06, -4.369299782085441E+07,
2454412.500000000, A.D. 2007-Nov-08 00:00:00.0000, -3.812935154932243E+07,  5.871115968524680E+06, -4.294912448980101E+07,
2454413.500000000, A.D. 2007-Nov-09 00:00:00.0000, -3.896624082023293E+07,  4.211977257934444E+06, -4.218840713024429E+07,
2454414.500000000, A.D. 2007-Nov-10 00:00:00.0000, -3.979748099102642E+07,  2.540564226606449E+06, -4.141060725946692E+07,
2454415.500000000, A.D. 2007-Nov-11 00:00:00.0000, -4.062336508170743E+07,  8.559556183620710E+05, -4.061548668613145E+07,
2454416.500000000, A.D. 2007-Nov-12 00:00:00.0000, -4.144415851022757E+07, -8.428443287638072E+05, -3.980280821009042E+07,
2454417.500000000, A.D. 2007-Nov-13 00:00:00.0000, -4.226009365866932E+07, -2.556909291568883E+06, -3.897233640813687E+07,
2454418.500000000, A.D. 2007-Nov-14 00:00:00.0000, -4.307136392974499E+07, -4.287394158955529E+06, -3.812383851838695E+07,
